"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","horizonTopDepth","horizonBottomDepth","nrcsDescriptionID","remarks","publicationDate","release"
"f7b921de-1b70-4bc6-9448-3780f9bd0fc7","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BC","BC",2013-08-19,2013-08-19,40,73,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"6ffc7d89-a5c9-4793-b58b-15525af9fcbc","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BW","Bw",2013-08-19,2013-08-19,22,40,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"7d99e418-712b-44db-a799-15577a215af5","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C1","C1",2013-08-19,2013-08-19,73,140,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"b5d060eb-3a84-4ed0-a125-053057c3b54a","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_OE","Oe",2013-08-19,2013-08-19,0,3,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"19a50c49-8a27-495a-b9a2-338a3137915b","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_A","A",2013-08-19,2013-08-19,3,5,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"dd6ac3e9-3309-49bd-9047-93a8860569a4","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS2","Bs2",2013-08-19,2013-08-19,15,22,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"1ca3eed9-af9e-4ddb-8125-470673a29671","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_BS1","Bs1",2013-08-19,2013-08-19,9,15,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"6f4987f1-1bca-4a8c-87a5-7fbbaac24b19","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_E","E",2013-08-19,2013-08-19,5,9,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"71ad4465-27b2-4168-a2e5-9dcb9708f11a","D01","BART","MEGAPT100963","1_BARTLETT_PIT1","1_BARTLETT_PIT1_C2","C2",2013-08-19,2013-08-19,140,200,"S2013NH003001",NA,"20201217T033307Z","RELEASE-2021"
"945f83ae-68be-4bd7-b28e-d6ba603f7ccd","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_AP","Ap",2012-07-17,2012-07-17,9,17,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"d3e1eb29-aabb-4cc8-a8dc-d2870b794683","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW1","Bw1",2012-07-17,2012-07-17,32,53,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"013079f4-538b-4d08-810e-dc962457982a","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2BC","2BC",2012-07-17,2012-07-17,82,96,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"77f000c4-f925-45e7-9965-5f6a6af82dde","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD1","2Cd1",2012-07-17,2012-07-17,113,133,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"84dacac4-5183-4df9-84f4-305ccf04117c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2CD2","2Cd2",2012-07-17,2012-07-17,133,160,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"01514c9a-d223-4cbb-be90-bbea497d2f9d","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_OI","Oi",2012-07-17,2012-07-17,0,4,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"4cf4414c-922f-49de-8ac6-52fdf1dca1d9","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW/E","Bw/E",2012-07-17,2012-07-17,17,32,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"e1956239-0b40-465b-b8db-c51b0e66645c","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_BW2","Bw2",2012-07-17,2012-07-17,53,82,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"6c982ed8-855a-4089-bb04-a49554add350","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_A","A",2012-07-17,2012-07-17,4,9,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"dc4f1f6c-ceb4-4d24-b77a-331d61f48ea8","D01","HARV","MEGAPT100973","1_HARVARD_PIT1","1_HARVARD_PIT1_2C","2C",2012-07-17,2012-07-17,96,113,"S2012MA027001",NA,"20201216T230651Z","RELEASE-2021"
"26902cb5-56f9-40fb-ad6d-ba660fb11b6c","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_O","O",2013-01-14,2013-01-14,0,2,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"a9d7ccb3-f1d7-45a0-8e5d-5f7a5af148a6","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP2","Ap2",2013-01-14,2013-01-14,14,23,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"caaa8047-e5c9-4da8-99ed-d64ab503e15c","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C2","C2",2013-01-14,2013-01-14,128,206,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"9e36b188-86d0-4762-9e89-e4014b6c0da9","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_AP1","Ap1",2013-01-14,2013-01-14,2,14,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"e25ae662-a928-4fd8-9537-1580d582edf8","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT2","Bt2",2013-01-14,2013-01-14,51,84,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"39d28a6e-e17b-4177-90ee-a6ed73d5f8a3","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_BT1","Bt1",2013-01-14,2013-01-14,23,51,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"7e5ac8a0-438f-4301-bef1-1560ebbf1c2e","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1","2_BLANDY_PIT1_C1","C1",2013-01-14,2013-01-14,84,128,"S13VA043001",NA,"20201217T021806Z","RELEASE-2021"
"a65c0e61-f349-432b-9055-3c3729df96fd","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_A","A",2013-05-13,2013-05-13,2,7,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"e8cff019-a310-4ffc-8831-21a9eff26180","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_OI","Oi",2013-05-13,2013-05-13,0,2,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"e5cea5a7-bcaa-4a96-a4d3-d3fedc75159f","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT1","Bt1",2013-05-13,2013-05-13,14,34,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"b38388f6-fd55-4b0b-a0ea-c42f4a60d50e","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BC","2BC",2013-05-13,2013-05-13,179,209,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"f441f2ea-fa90-485b-b5ea-2131e0cdc810","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT5","2Bt5",2013-05-13,2013-05-13,146,179,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"5cb2d35e-35ca-4ebd-af60-0633deb1e2af","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BA","BA",2013-05-13,2013-05-13,7,14,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"13509951-cb2f-4aa6-b20d-1b3f5fa4c18a","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT2","Bt2",2013-05-13,2013-05-13,34,59,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"a89145eb-cea1-4373-babc-f89cf71befb6","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2BT4","2Bt4",2013-05-13,2013-05-13,114,146,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"220992b3-c690-4c0d-bb1b-05f82f1d7507","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_2CR","2Cr",2013-05-13,2013-05-13,209,247,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"70157311-8955-4dba-8038-ff3853f0df72","D02","SCBI","MEGAPT100991","2_SCBI_PIT1","2_SCBI_PIT1_BT3","Bt3",2013-05-13,2013-05-13,59,114,"S13VA-187-1-X-Lew",NA,"20201217T032359Z","RELEASE-2021"
"c383270d-ba30-4bb9-a3b3-6850b273b9ad","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG2","Btg2",2014-05-05,2014-05-05,131,147,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"08bce4a5-953d-40de-9220-ceb18b520876","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BTG1","Btg1",2014-05-05,2014-05-05,85,131,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"de8f98a1-2596-4f35-815f-b900ea24d23b","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_E","E",2014-05-05,2014-05-05,23,37,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"aff373ff-5b48-4465-ba94-1118bf86177c","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT2","Bt2",2014-05-05,2014-05-05,60,75,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"e0b8807d-b958-4e66-bae3-d93a6fe84b08","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_A","A",2014-05-05,2014-05-05,2,13,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"53a06fd5-69eb-4bbb-97eb-c3a614502e8d","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT1","Bt1",2014-05-05,2014-05-05,37,60,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"232b2d71-c770-4e9f-a92f-2d77e86b6cf7","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_EA","EA",2014-05-05,2014-05-05,13,23,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"5f87d68c-516c-4126-9dde-6bcc8a63c374","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_OE","Oe",2014-05-05,2014-05-05,0,2,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"323f188e-7b06-40ab-9ef0-5526c4fa2117","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C1","C1",2014-05-05,2014-05-05,187,200,"2014MD003001","No photo of horizon taken due to being under the water table and difficulty in photographing it due to the mud depth in the bottom of the pit.","20201217T043440Z","RELEASE-2021"
"f071e32c-5376-4569-8067-bb952f54fa4b","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_CG","Cg",2014-05-05,2014-05-05,156,187,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"2393cc2f-ada5-49cc-9a33-2191226b650f","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_C","C",2014-05-05,2014-05-05,147,156,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"6925cb00-4af9-45bf-888b-a99bd397b0ed","D02","SERC","MEGAPT100992","2_SERC_PIT1","2_SERC_PIT1_BT3","Bt3",2014-05-05,2014-05-05,75,85,"2014MD003001",NA,"20201217T043440Z","RELEASE-2021"
"78f60058-eb2a-4b62-a5e2-352dd486f6c5","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'3","E'3",2013-02-04,2013-02-04,134,152,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"76f20ba9-d31f-48d2-81e7-f690bfafecd5","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH2","Bh2",2013-02-04,2013-02-04,55,69,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"ba2f6447-95e5-4b58-9df5-19e15335f7c7","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH1","Bh1",2013-02-04,2013-02-04,43,55,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"9fe9b240-cbd8-4841-ad8c-ba25386cbfdc","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'2","E'2",2013-02-04,2013-02-04,99,134,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"f8791bed-e74d-45c1-acf5-916f4c75700e","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'1","E'1",2013-02-04,2013-02-04,69,99,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"b45d130a-a91e-4cd4-8a0d-ed683bd45b46","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E","E",2013-02-04,2013-02-04,26,43,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"62181a4e-fc60-4dcf-8306-91e7a31692fb","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AP","Ap",2013-02-04,2013-02-04,0,9,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"d395a613-9114-4c48-94c5-4800c64415ce","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AE","AE",2013-02-04,2013-02-04,9,26,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"b978be0c-4b54-421b-a354-f490caf76bf7","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_B'H","B'h",2013-02-04,2013-02-04,152,204,"13FL097001",NA,"20201217T021903Z","RELEASE-2021"
"449277c9-3168-4374-9581-4f2c9508f493","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT3","Bt3",2012-12-10,2012-12-10,185,203,"S2012GA007001",NA,"20201216T225139Z","RELEASE-2021"
"415c219c-6ad2-41c3-92c7-ac7c96faf9a5","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT2","Bt2",2012-12-10,2012-12-10,105,185,"S2012GA007001",NA,"20201216T225139Z","RELEASE-2021"
"31788402-b828-405f-89cd-1e3d8379d962","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT1","Bt1",2012-12-10,2012-12-10,68,105,"S2012GA007001",NA,"20201216T225139Z","RELEASE-2021"
"7b1b7271-ca80-43a3-9387-3fae9fb6a6bf","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_A","A",2012-12-10,2012-12-10,0,8,"S2012GA007001",NA,"20201216T225139Z","RELEASE-2021"
"0c5f520f-c4c6-41a1-9c5a-bd0d74a52f46","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_E","E",2012-12-10,2012-12-10,8,68,"S2012GA007001",NA,"20201216T225139Z","RELEASE-2021"
"c94f38eb-c67f-4ef6-b1d8-6ecd935d27ce","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_A","A",2012-06-19,2012-06-19,0,7,NA,NA,"20201216T232230Z","RELEASE-2021"
"ce66f017-166e-4406-9a00-e6c3eb508838","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW2","Bw2",2012-06-19,2012-06-19,28,125,NA,NA,"20201216T232230Z","RELEASE-2021"
"60e85929-b544-4431-b34b-5672148d62e5","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW3","Bw3",2012-06-19,2012-06-19,125,200,NA,NA,"20201216T232230Z","RELEASE-2021"
"2b55521d-08c5-4029-91a1-a238a2081b02","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1","3_ORDWAY_PIT1_BW1","Bw1",2012-06-19,2012-06-19,7,28,NA,NA,"20201216T232230Z","RELEASE-2021"
"ef85528f-b394-486e-a929-970d193858a4","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BCK","BCk",2015-04-10,2015-04-10,105,126,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"a5240133-169f-4bdf-a295-c1e39f8e08f2","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK2","Bk2",2015-04-10,2015-04-10,55,86,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"b3cb718a-a956-44ab-b94b-e8adbbb2356d","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK3","Bk3",2015-04-10,2015-04-10,86,105,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"961e9d0e-9aa9-44b6-8511-151cd17db8df","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_A","A",2015-04-10,2015-04-10,0,30,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"276de7bd-b9de-4150-8bc9-10a0fe723e3e","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_BK1","Bk1",2015-04-10,2015-04-10,30,55,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"0f3d2368-b0a6-4090-bd2b-fa7c3515cce5","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_CR","Cr",2015-04-10,2015-04-10,161,203,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"59053041-3767-4cd3-ba9e-05ff7b255a82","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1","4_GUANICA_PIT1_C","C",2015-04-10,2015-04-10,126,161,"S2015PR055001",NA,"20201217T051942Z","RELEASE-2021"
"a94f1205-9608-4d08-945b-53b79c0bf159","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_AP","Ap",2014-04-07,2014-04-07,0,27,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"25a222f9-676c-4528-a1e8-51a9a8426c9c","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_4C","4C",2014-04-07,2014-04-07,176,203,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"20901012-f3dd-4486-a9b2-b4964e91ea5e","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2C","2C",2014-04-07,2014-04-07,145,164,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"d28199cd-46f2-412b-9e2d-707f6b03f6ee","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BSSYZ","Bssyz",2014-04-07,2014-04-07,55,83,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"83c4e8cd-d4ab-4d0d-b541-a91bf464a826","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_3C","3C",2014-04-07,2014-04-07,164,176,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"b243174a-10f3-4b0a-b3e1-aadcdd4372e7","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_ABSS","Abss",2014-04-07,2014-04-07,27,55,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"5e8d55bb-15c3-43fd-a014-c07c3319316c","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2BKY","2Bky",2014-04-07,2014-04-07,107,145,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"434c00b3-ed91-420a-8df9-8b13829228d1","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BKSSYZ","Bkssyz",2014-04-07,2014-04-07,83,107,"2014PR079001",NA,"20201217T040239Z","RELEASE-2021"
"4e911cb7-4e7b-4a16-9c2e-af5ac41376d0","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_E/B","E/B",2015-06-16,2015-06-16,36,61,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"787c2083-3297-4d2f-ba62-d85fbdeb2b21","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BC","BC",2015-06-16,2015-06-16,109,148,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"5ab991d6-495e-4478-b8da-b4ab0c8dad2e","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BS2","Bs2",2015-06-16,2015-06-16,28,36,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"a16733bf-e752-4f18-bf5a-ef3285610619","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_A","A",2015-06-16,2015-06-16,0,14,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"85e246fb-b11f-46b2-be3f-e396ad59e9dd","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BT1","Bt1",2015-06-16,2015-06-16,61,78,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"d85e2bfc-0844-49b6-aebe-19fcfdd45042","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BT2","Bt2",2015-06-16,2015-06-16,78,109,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"319dc2a8-3e8f-439f-ab26-d7c21d7b7b59","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_BS1","Bs1",2015-06-16,2015-06-16,14,28,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"e544fb89-ca2f-483a-b2b6-0c38c72c60ce","D05","STEI","MEGAPT100996","D05_STEI_PIT1","5_STEI_PIT1_C","Cd",2015-06-16,2015-06-16,148,200,"2015WI069001",NA,"20201217T052614Z","RELEASE-2021"
"3732524e-814a-41c4-b094-2af39896534a","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_BS","Bs",2015-06-15,2015-06-15,17,33,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
"04ec2070-7367-4d3c-aea7-99bcd905ce3f","D05","TREE","MEGAPT100999","D05_TREE_PIT1","5_TREE_PIT1_OA","Oa",2015-06-15,2015-06-15,0,2,"2015WI069002",NA,"20201217T053017Z","RELEASE-2021"
