"uid","domainID","siteID","pitNamedLocation","pitID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","soilSeries","soilFamily","soilSubgroup","soilGreatGroup","soilSuborder","soilOrder","samplingProtocolVersion","recordedByA","recordedByB","recordedByC","recordedByD","recordedByE","soilProfileDescriberA","soilProfileDescriberB","soilProfileDescriberC","soilProfileDescriberD","soilProfileDescriberE","soilProfileDescriberF","soilProfileDescriberInst","pitDepth","nrcsDescriptionID","publicationDate","release"
"9fb9b439-64c4-46ef-827e-466a5d898d37","D01","BART","MEGAPT100963","1_BARTLETT_PIT1",44.06516,-71.28834,NA,4.5,284,NA,2013-08-19,2013-08-19,"Sunapee","Coarse-loamy - isotic - frigid Aquic Haplorthods","Aquic Haplorthods","Haplorthods","Orthod","Spodosol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"tnTGlQn3paEbPj/GBrLtxg==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013NH003001","20201217T033307Z","RELEASE-2021"
"527c423b-8a64-4db6-9517-0205c323babc","D01","HARV","MEGAPT100973","1_HARVARD_PIT1",42.53562,-72.17562,NA,4,373,NA,2012-07-17,2012-07-17,"Henniker - taxadjunct","Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts","Oxyaquic Dystrudepts","Dystrudepts","Udept","Inceptisol","NEON.DOC.001307vA","Ed Ayres",NA,NA,NA,NA,"FJNYBhC120XDEZxah5W2lQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2012MA027001","20201216T230651Z","RELEASE-2021"
"f9428f7a-cee4-4eec-b4a1-5b234ecc441d","D02","BLAN","MEGAPT100965","2_BLANDY_PIT1",39.06044,-78.07115,NA,4,177,NA,2013-01-14,2013-01-14,"Poplimento - taxadjunct","Fine - mixed - subactive - mesic Ultic Hapludalfs","Ultic Hapludalfs","Hapludalfs","Udalf","Alfisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"yZMoeD3zJoDlPuIsNjKKQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S13VA043001","20201217T021806Z","RELEASE-2021"
"b87c5759-700e-491b-a047-3c1d16ed26d1","D02","SCBI","MEGAPT100991","2_SCBI_PIT1",38.89209,-78.13764,NA,4,410,NA,2013-05-13,2013-05-13,"Lew","Loamy-skeletal - mixed - active - mesic Ultic Hapludalfs","Ultic Hapludalfs","Hapludalfs","Udalf","Alfisol","NEON.DOC.001307vA","Ed Ayres","Derek Smith",NA,NA,NA,"yZMoeD3zJoDlPuIsNjKKQQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S13VA-187-1-X-Lew","20201217T032359Z","RELEASE-2021"
"c0f55e74-ff99-4fcd-871f-288f92e83bfe","D02","SERC","MEGAPT100992","2_SERC_PIT1",38.89124,-76.55884,NA,4.7,27.4,NA,2014-05-05,2014-05-05,"Adelphia - Taxadjunct","Fine-loamy - mixed - active - mesic Aquic Hapludults","Aquic Hapludults","Hapludults","Udult","Ultisol","NEON.DOC.001307vA","Ed Ayres","Rommel Zulueta",NA,NA,NA,"FfGJ6keMDL12jkWNxjd1nw==","lvON+s4pWKtwhqmkotDMaQ==","+lH3vzz3JGqn6dZbXDFVbg==",NA,NA,NA,"Natural Resource Conservation Service",200,"2014MD003001","20201217T043440Z","RELEASE-2021"
"86796b16-9bab-4dd0-8940-deab41c9e7f4","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1",28.12919,-81.43394,NA,3,25,NA,2013-02-04,2013-02-04,"Smyrna","Sandy - siliceous - hyperthermic Aeric Alaquods","Aeric Alaquods","Alaquods","Aquod","Spodosol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"LLVq6n9hXGbQQG6lFqcgOQ==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"13FL097001","20201217T021903Z","RELEASE-2021"
"e671b593-3349-4bf7-a58c-a5744ef720f2","D03","JERC","MEGAPT100975","3_JONES_PIT1",31.19608,-84.46647,NA,3,49,NA,2012-12-10,2012-12-10,"Lucy","Loamy - kaolinitic - thermic Arenic Kandiudults","Arenic Kandiudults","Kandiudults","Udult","Ultisol","NEON.DOC.001307vA","Ed Ayres","Josh Roberti",NA,NA,NA,"0m0jmAVql/hf+OIxdqc0Rg==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2012GA007001","20201216T225139Z","RELEASE-2021"
"8fd6a8d3-24df-4293-900a-05f8502f04e9","D03","OSBS","MEGAPT100989","3_ORDWAY_PIT1",29.68819,-81.99345,NA,3,55,NA,2012-06-19,2012-06-19,"Astatula","Hyperthermic - uncoated Typic Quartzipsamments","Typic Quartzipsamments","Quartzipsamments","Psamment","Entisol","NEON.DOC.001307vA","Ed Ayres",NA,NA,NA,NA,"iAjAz32VlqrdEsno/3hKGQ==",NA,NA,NA,NA,NA,"University of Florida",NA,NA,"20201216T232230Z","RELEASE-2021"
"f611cbb9-9189-490a-ba07-accaeb19014a","D04","GUAN","MEGAPT100972","4_GUANICA_PIT1",17.96882,-66.86888,NA,1.5,133,NA,2015-04-10,2015-04-10,"Altamira","Coarse-loamy - carbonatic - isohyperthermic Typic Haplocalcids","Typic Haplocalcids","Haplocalcids","Calcids","Aridisol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti","David Durden",NA,NA,"zOrmnyPBsIVk/36syHNUww==","8yLPS6+jvnXhlic5luBm0A==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"S2015PR055001","20201217T051942Z","RELEASE-2021"
"345473df-89ad-4953-a380-1b56db75b9f1","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1",18.02184,-67.07608,NA,3,40,NA,2014-04-07,2014-04-07,"Cartagena","Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts","Haplusterts","Ustert","Vertisol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti",NA,NA,NA,"8yLPS6+jvnXhlic5luBm0A==","zOrmnyPBsIVk/36syHNUww==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"2014PR079001","20201217T040239Z","RELEASE-2021"
"d9d4650a-4d26-44e1-9724-c08bd0b2c283","D05","STEI","MEGAPT100996","D05_STEI_PIT1",45.5076,-89.5888,NA,4.3,484,NA,2015-06-16,2015-06-16,"Pesabic","Coarse-loamy - mixed - superactive - frigid Alfic Epiaquods","Alfic Epiaquods","Epiaquods","Aquod","Spodosol","NEON.DOC.001307vB","David Durden","Rommel Zulueta","Ed Ayers",NA,NA,"zulSnE+FPWAQS9HmBmyNsg==","lQFWaX8ND5705tcIYNRHzQ==","hiCTQ8wPLNkzUEz8fDOhBw==",NA,NA,NA,"Natural Resource Conservation Service",200,"2015WI069001","20201217T052614Z","RELEASE-2021"
"039d8558-bdcc-41b0-a825-064d60f0f2a9","D05","TREE","MEGAPT100999","D05_TREE_PIT1",45.49266,-89.58748,NA,2.8,481,NA,2015-06-15,2015-06-15,"Padwet","Coarse-loamy - mixed - superactive - frigid Alfic Haplorthods","Alfic Haplorthods","Haplorthods","Orthod","Spodosol","NEON.DOC.001307vB","David Durden","Rommel Zulueta","Ed Ayers",NA,NA,"ykqMd4/pgwglJkU3Trp3vQ==","pn8/IQFD4SVsZ6JNr3HB4g==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"2015WI069002","20201217T053017Z","RELEASE-2021"
"6b5ed0aa-af75-418e-b24a-f8e8297a49b6","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1",46.14103,-89.3221,NA,4.5,533,NA,2013-09-09,2013-09-09,"Tula","Coarse-loamy - mixed - superactive - frigid Argic Fragiaquods","Argic Fragiaquods","Fragiaquods","Aquod","Spodosol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti",NA,NA,NA,"lQFWaX8ND5705tcIYNRHzQ==","pn8/IQFD4SVsZ6JNr3HB4g==","hJku4laGrjFd89yqrWYNCZCpOyutykMP",NA,NA,NA,"Natural Resource Conservation Service",NA,"2013MI053001","20201217T020817Z","RELEASE-2021"
"bfc4b0f2-17fe-47f1-a687-86b6c3538add","D06","KONA","MEGAPT100977","6_KONZAAG_PIT1",39.10828,-96.61044,NA,2.9,325,NA,2014-08-04,2014-08-04,"Chase - taxadjunct","Fine - smectitic - mesic Pachic Vertic Argiudolls","Pachic Vertic Argiudolls","Argiudolls","Udoll","Mollisol","NEON.DOC.001307vA","Rommel Zulueta","David Durden",NA,NA,NA,"CpIXB4meByOSB3ugFXVqFQ==","HI1UoNE9J7LXG8jhoF31wSlpHgLLRQDQ","0ln57J5rkCWLtRr/ZGAl+A==","UnaQAV2tMSeCp8mO1I14tA==",NA,NA,"Natural Resource Conservation Service",206,"S2014KS161503","20201217T035348Z","RELEASE-2021"
"688d6610-ad16-4109-ba34-16c59a6decd4","D06","KONZ","MEGAPT100978","6_KONZACORE_PIT1",39.1007,-96.56227,NA,2,414,NA,2014-06-24,2014-06-24,"Konza","Fine - smectitic - mesic Pachic Udertic Argiustolls","Pachic Udertic Argiustolls","Argiustolls","Ustoll","Mollisol","NEON.DOC.001307vA","Rommel Zulueta","David Durden","Ed Ayres",NA,NA,"CpIXB4meByOSB3ugFXVqFQ==","LJKQ92FJCgo7VspYXIKbzw==","chO9nHebwfmL29CjjLQGxg==","HI1UoNE9J7LXG8jhoF31wSlpHgLLRQDQ",NA,NA,"Natural Resource Conservation Service",200,"2014KS161502","20201217T044242Z","RELEASE-2021"
"3002da24-fdf7-4231-912b-92a8fd3cf2b3","D06","UKFS","MEGAPT101000","6_UKFS_PIT1",39.04168,-95.20495,NA,3,310,NA,2014-07-21,2014-07-21,"Rosendale - taxadjunct","Fine - smectitic - mesic Pachic Argiudolls","Pachic Argiudolls","Argiudolls","Udoll","Mollisol","NEON.DOC.001307vA","Rommel Zulueta","David Durden","Arika Virapongse",NA,NA,"CpIXB4meByOSB3ugFXVqFQ==","LJKQ92FJCgo7VspYXIKbzw==","KS4PSydL3xso+QxDdVE4Qw==","m8i0x1Malhvrhod7NK9nFA==","0ln57J5rkCWLtRr/ZGAl+A==",NA,"Natural Resource Conservation Service",213,"S2014KS045001","20201217T043745Z","RELEASE-2021"
"5b7f1016-3f61-4d20-8cb3-56caa905ff9a","D07","GRSM","MEGAPT100971","D07_GRSM_PIT1",35.68839,-83.50185,NA,2.5,599,NA,2015-04-20,2015-04-20,"Spivey","Loamy-skeletal - isotic - mesic Typic Humudepts","Typic Humudepts","Humudepts","Udept","Inceptisol","NEON.DOC.001307vB","Rommel Zulueta","David Durden",NA,NA,NA,"JnA2E0Ul7ik54WAA109I2Q==","c0jDx3EGGhvkhKR9IYIl3Q==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"S2015TN155400","20201217T050435Z","RELEASE-2021"
"b94bc64b-b91b-492e-926b-d414b32b7ff2","D07","MLBS","MEGAPT100982","7_MLBS_PIT1",37.37783,-80.52425,NA,2.7,1177,NA,2013-12-02,2013-12-02,"No series matches description","Coarse-loamy - siliceous - semiactive - frigid Fluvaquents","Fluvaquents","Fluvaquents","Aquents","Entisol","NEON.DOC.001307vA","Rommel Zulueta","Josh Roberti","Ed Ayres",NA,NA,"4g/xOZg6LAQ=","Sw9F2RYekw69RsfQ/Zs2uQ==",NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"201351071001","20201217T020159Z","RELEASE-2021"
"cfe9a529-4a66-4481-a5f6-0e34a01c10b4","D07","ORNL","MEGAPT100988","7_OAKRIDGE_PIT1",35.57525,-84.16581,NA,3.6,366,NA,2013-09-23,2013-09-23,"Fullerton","Fine - kaolinitic - thermic Typic Paleudults","Typic Paleudults","Paleudults","Udult","Ultisol","NEON.DOC.001307vA","Rommel Zulueta","Derek Smith",NA,NA,NA,"BaNs619Nmc3AF6DO1lGGzQ==","XyKMLJQ9GGD052f6/8gH8A==","UdJHC9A2h2/avIHAuNqvFA==","Y+I4V2BqH2jx57RrSlyFrA==",NA,NA,"Natural Resource Conservation Service",NA,"S2013TN001001","20201217T020748Z","RELEASE-2021"
"9cc8cc18-4802-4efe-a91f-ad010e9f0f20","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1",32.54092,-87.80341,NA,4,18,NA,2013-04-29,2013-04-29,"Angie","Fine - mixed - semiactive - thermic Aquic Paleudults","Aquic Paleudults","Paleudults","Udult","Ultisol","NEON.DOC.001307vA","Ed Ayres","Rommel Zulueta","Josh Roberti",NA,NA,"9vKYcOmIBs0yCu8yqHKUkg==",NA,NA,NA,NA,NA,"Natural Resource Conservation Service",NA,"S2013AL063001","20201217T015523Z","RELEASE-2021"
"00e84983-da95-410f-82bf-47767146e9b0","D08","LENO","MEGAPT100980","D08_LENO_PIT1",31.8531,-88.16103,NA,3.1,8,NA,2015-03-16,2015-03-16,"Urbo","Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts","Epiaquepts","Aquepts","Inceptisol","NEON.DOC.001307vB","Ed Ayres","Rommel Zulueta","Josh Roberti",NA,NA,"9vKYcOmIBs0yCu8yqHKUkg==","U7Ab4q+OyD8UtkdAJJtKa0czt1xo91ez","2oqad7FSHemNQjgsDt4WemTctL1tJlil","vzuRHoGC6/cD3t1o/tODmw==",NA,NA,"Natural Resource Conservation Service",200,"S2015AL023004","20201217T052600Z","RELEASE-2021"
"ab948e23-cb98-45f7-bb26-f15bd8abae8d","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1",32.95106,-87.3941,NA,2.9,154,NA,2014-01-13,2014-01-13,"Smithdale","Fine-loamy - siliceous - subactive - thermic Typic Hapludults","Typic Hapludults","Hapludults","Udult","Ultisol","NEON.DOC.001307vA","Rommel Zulueta","Ed Ayres",NA,NA,NA,"Sophp7FKFG2T8+9L8yLZBQ==","9vKYcOmIBs0yCu8yqHKUkg==",NA,NA,NA,NA,"Natural Resource Conservation Service",200,"S2014AL007001","20201217T034359Z","RELEASE-2021"
